-24.6126	0.0000	-2.1950	26.81	-0.00	26.81	0.03	0.06	1.00	1.64	0.14	93.43	
-25.5892	0.0000	-1.9899	27.58	-0.00	27.58	0.03	0.03	0.99	1.71	0.14	93.44	
-26.3389	0.0000	-1.5237	27.86	-0.00	27.86	0.04	0.07	0.99	1.76	0.13	92.64	
-26.0804	0.0000	0.5264	25.55	-0.00	25.55	0.04	0.04	1.04	1.74	0.13	92.64	
-25.0619	0.0000	2.0695	22.99	-0.00	22.99	0.06	0.00	1.01	1.67	0.14	92.61	
-24.2610	0.0000	1.6321	22.63	-0.00	22.63	0.05	0.02	0.99	1.62	0.15	92.58	
-24.2826	0.0000	-0.0440	24.33	-0.00	24.33	-0.00	0.03	0.97	1.62	0.16	92.40	
-24.6051	0.0000	-0.6578	25.26	-0.00	25.26	0.06	0.08	0.97	1.64	0.17	92.38	
-24.7529	0.0000	-0.2996	25.05	-0.00	25.05	0.00	0.04	0.98	1.65	0.18	91.55	
-24.5202	0.0000	0.4747	24.05	-0.00	24.05	-0.00	-0.01	1.03	1.63	0.20	91.52	
-23.9768	0.0000	1.1030	22.87	-0.00	22.87	0.03	-0.07	0.40	1.60	0.24	92.49	
-22.5854	0.0000	2.8331	19.75	-0.00	19.75	0.11	0.08	1.18	1.51	0.25	92.47	
-23.4344	0.0000	-1.7268	25.16	-0.00	25.16	0.01	0.10	0.98	1.56	0.22	92.39	
-22.8759	0.0000	1.1377	21.74	-0.00	21.74	0.01	-0.01	0.94	1.53	0.22	92.39	
-23.1206	0.0000	-0.4974	23.62	-0.00	23.62	0.07	0.30	0.94	1.54	0.26	91.72	
-22.0173	0.0000	2.2475	19.77	-0.00	19.77	-0.17	-0.45	1.22	1.47	0.16	91.92	
-20.4188	0.0000	3.2474	17.17	-0.00	17.17	-0.64	0.36	1.28	1.36	0.23	90.10	
-18.8888	0.0000	3.1223	15.77	-0.00	15.77	0.19	-0.01	0.75	1.26	0.30	89.96	
-15.3288	0.0000	7.2329	8.10	-0.00	8.10	0.28	0.16	0.99	1.02	0.23	90.87	
-14.6313	0.0000	1.4210	13.21	-0.00	13.21	-0.10	-0.05	1.00	0.98	0.24	90.84	
-12.8661	0.0000	3.5846	9.28	-0.00	9.28	0.02	-0.18	0.82	0.86	0.28	91.87	
-12.7855	0.0000	0.1643	12.62	-0.00	12.62	0.13	0.27	0.97	0.85	0.28	91.87	
-12.6480	0.0000	0.2797	12.37	-0.00	12.37	0.01	-0.14	1.05	0.84	0.28	91.77	
-12.5344	0.0000	0.2312	12.30	-0.00	12.30	-0.04	-0.01	0.93	0.84	0.31	91.37	
-13.5667	0.0000	-2.0983	15.66	-0.00	15.66	0.07	0.12	0.98	0.90	0.30	91.38	
-14.2877	0.0000	-1.4686	15.76	-0.00	15.76	0.03	0.09	1.03	0.95	0.30	90.78	
-14.3703	0.0000	-0.1679	14.54	-0.00	14.54	0.01	0.10	0.98	0.96	0.31	90.75	
-13.8614	0.0000	1.0380	12.82	-0.00	12.82	0.03	0.07	1.00	0.92	0.31	91.58	
-13.2832	0.0000	1.1758	12.11	-0.00	12.11	0.01	0.11	1.04	0.89	0.30	91.60	
-12.6734	0.0000	1.2420	11.43	-0.00	11.43	0.01	0.09	0.97	0.84	0.30	90.60	
-11.7965	0.0000	1.7826	10.01	-0.00	10.01	0.05	0.03	1.00	0.79	0.29	90.61	
-10.8224	0.0000	1.9846	8.84	-0.00	8.84	0.02	0.02	1.01	0.72	0.27	92.58	
-9.9876	0.0000	1.6966	8.29	-0.00	8.29	0.02	-0.01	0.99	0.67	0.27	92.59	
-9.4931	0.0000	1.0073	8.49	-0.00	8.49	0.05	-0.01	0.99	0.63	0.26	92.47	
-9.3619	0.0000	0.2667	9.10	-0.00	9.10	0.04	-0.00	0.99	0.62	0.25	92.49	
-9.4366	0.0000	-0.1522	9.59	-0.00	9.59	0.01	-0.01	1.01	0.63	0.25	92.23	
-9.6603	0.0000	-0.4546	10.11	-0.00	10.11	0.04	0.04	0.98	0.64	0.24	92.23	
-9.9000	0.0000	-0.4881	10.39	-0.00	10.39	0.04	0.05	1.00	0.66	0.24	92.60	
-10.1553	0.0000	-0.5192	10.67	-0.00	10.67	0.02	0.06	0.99	0.68	0.24	92.60	
-10.4181	0.0000	-0.5354	10.95	-0.00	10.95	0.04	0.05	0.98	0.69	0.23	92.79	
-10.7740	0.0000	-0.7235	11.50	-0.00	11.50	0.05	-0.01	0.97	0.72	0.23	92.80	
-11.6058	0.0000	-1.6941	13.30	-0.00	13.30	0.06	-0.05	0.98	0.77	0.24	92.75	
-12.6356	0.0000	-2.0934	14.73	-0.00	14.73	0.01	0.08	1.04	0.84	0.25	92.72	
-13.4734	0.0000	-1.7069	15.18	-0.00	15.18	-0.01	0.06	1.00	0.90	0.26	92.60	
-14.1694	0.0000	-1.4148	15.58	-0.00	15.58	-0.01	0.06	1.00	0.94	0.26	92.61	
-14.8102	0.0000	-1.3055	16.12	-0.00	16.12	0.02	0.06	1.01	0.99	0.24	91.15	
-15.3011	0.0000	-0.9978	16.30	-0.00	16.30	0.03	0.05	1.00	1.02	0.23	91.18	
-15.6996	0.0000	-0.8117	16.51	-0.00	16.51	0.06	0.08	0.99	1.05	0.21	90.54	
-15.9593	0.0000	-0.5279	16.49	-0.00	16.49	0.03	0.07	1.00	1.06	0.20	90.57	
-16.1086	0.0000	-0.3042	16.41	-0.00	16.41	0.01	0.07	1.01	1.07	0.20	92.52	
-16.2712	0.0000	-0.3304	16.60	-0.00	16.60	0.03	0.07	0.99	1.08	0.19	92.54	
-16.2930	0.0000	-0.0444	16.34	-0.00	16.34	0.03	0.05	1.00	1.09	0.19	91.63	
-16.1678	0.0000	0.2545	15.91	-0.00	15.91	0.04	0.07	0.99	1.08	0.18	91.64	
-15.9597	0.0000	0.4238	15.54	-0.00	15.54	0.02	0.05	0.99	1.06	0.17	91.27	
-15.7355	0.0000	0.4557	15.28	-0.00	15.28	0.03	0.05	0.99	1.05	0.16	91.29	
-15.5692	0.0000	0.3388	15.23	-0.00	15.23	0.02	0.02	0.99	1.04	0.16	91.08	
-15.5124	0.0000	0.1155	15.40	-0.00	15.40	0.04	0.02	0.99	1.03	0.15	91.10	
-15.5615	0.0000	-0.1000	15.66	-0.00	15.66	0.05	0.04	0.99	1.04	0.14	91.68	
-15.7355	0.0000	-0.3537	16.09	-0.00	16.09	0.03	0.03	0.99	1.05	0.14	91.92	
-15.9929	0.0000	-0.5246	16.52	-0.00	16.52	0.03	0.05	0.99	1.07	0.14	91.92	
-16.2872	0.0000	-0.5980	16.89	-0.00	16.89	0.03	0.05	0.99	1.09	0.14	91.71	
-16.5448	0.0000	-0.5245	17.07	-0.00	17.07	0.03	0.05	1.00	1.10	0.14	91.71	
-16.7049	0.0000	-0.3252	17.03	-0.00	17.03	0.03	0.06	1.00	1.11	0.14	92.48	
-16.7749	0.0000	-0.1428	16.92	-0.00	16.92	0.03	0.06	1.01	1.12	0.13	92.48	
-16.7367	0.0000	0.0777	16.66	-0.00	16.66	0.03	0.07	0.99	1.12	0.13	90.91	
-16.5643	0.0000	0.3511	16.21	-0.00	16.21	0.03	0.08	1.00	1.10	0.13	90.92	
-16.2364	0.0000	0.6665	15.57	-0.00	15.57	0.03	0.08	0.99	1.08	0.13	91.59	
-15.6805	0.0000	1.1320	14.55	-0.00	14.55	0.03	0.09	1.00	1.05	0.13	91.60	
-14.9422	0.0000	1.5003	13.44	-0.00	13.44	0.03	0.07	1.00	1.00	0.12	92.03	
-14.1000	0.0000	1.7190	12.38	-0.00	12.38	0.02	0.06	1.00	0.94	0.12	92.04	
-13.2300	0.0000	1.7661	11.46	-0.00	11.46	0.02	0.04	0.99	0.88	0.11	92.81	
-12.3418	0.0000	1.8085	10.53	-0.00	10.53	0.02	0.01	1.00	0.82	0.11	92.82	
-11.6393	0.0000	1.4287	10.21	-0.00	10.21	0.03	0.00	0.99	0.78	0.10	92.92	
-11.2045	0.0000	0.8862	10.32	-0.00	10.32	0.03	0.00	0.99	0.75	0.09	92.93	
-10.9948	0.0000	0.4251	10.57	-0.00	10.57	0.03	-0.00	0.99	0.73	0.09	93.57	
-11.0277	0.0000	-0.0672	11.09	-0.00	11.09	0.02	0.01	0.99	0.74	0.08	93.59	
-11.2587	0.0000	-0.4697	11.73	-0.00	11.73	0.03	0.02	0.99	0.75	0.07	93.74	
-11.5773	0.0000	-0.6491	12.23	-0.00	12.23	0.04	0.03	1.00	0.77	0.07	93.75	
-11.9202	0.0000	-0.6969	12.62	-0.00	12.62	0.03	0.05	0.99	0.79	0.06	93.05	
-12.2459	0.0000	-0.6636	12.91	-0.00	12.91	0.03	0.05	0.99	0.82	0.06	93.06	
-12.4854	0.0000	-0.4868	12.97	-0.00	12.97	0.03	0.08	0.99	0.83	0.06	93.04	
-12.5420	0.0000	-0.1152	12.66	-0.00	12.66	0.02	0.09	0.98	0.84	0.05	93.05	
-12.2445	0.0000	0.6047	11.64	-0.00	11.64	0.03	0.08	1.00	0.82	0.05	92.52	
-11.6787	0.0000	1.1526	10.53	-0.00	10.53	0.01	0.07	1.01	0.78	0.04	92.53	
-10.9955	0.0000	1.3886	9.61	-0.00	9.61	0.02	0.03	1.00	0.73	0.02	93.58	
-10.3643	0.0000	1.2860	9.08	-0.00	9.08	0.03	0.01	1.00	0.69	0.01	93.60	
-9.7868	0.0000	1.1737	8.61	-0.00	8.61	0.03	-0.01	0.98	0.65	-0.00	93.40	
-9.3795	0.0000	0.8299	8.55	-0.00	8.55	0.05	-0.01	1.00	0.63	-0.01	93.41	
-9.3516	0.0000	0.0567	9.29	-0.00	9.29	0.04	-0.01	0.99	0.62	-0.01	93.74	
-9.7345	0.0000	-0.7801	10.51	-0.00	10.51	0.04	0.01	0.98	0.65	-0.01	93.74	
-10.3386	0.0000	-1.2277	11.57	-0.00	11.57	0.03	0.01	0.99	0.69	-0.01	93.75	
-11.0650	0.0000	-1.4800	12.55	-0.00	12.55	0.02	0.03	1.00	0.74	-0.00	93.75	
-11.7740	0.0000	-1.4408	13.21	-0.00	13.21	0.02	0.04	1.00	0.78	0.00	92.02	
-12.4524	0.0000	-1.3810	13.83	-0.00	13.83	0.02	0.04	0.99	0.83	0.00	92.01	
-13.0695	0.0000	-1.2528	14.32	-0.00	14.32	0.01	0.03	1.00	0.87	0.00	92.04	
-13.6618	0.0000	-1.2092	14.87	-0.00	14.87	0.03	0.04	0.99	0.91	-0.00	91.98	
-14.2915	0.0000	-1.2798	15.57	-0.00	15.57	0.03	0.03	0.99	0.95	-0.01	91.99	
-14.9902	0.0000	-1.4235	16.41	-0.00	16.41	0.04	0.02	0.99	1.00	-0.01	91.76	
-15.7970	0.0000	-1.6398	17.44	-0.00	17.44	0.04	0.03	0.98	1.05	-0.01	91.77	
-16.6726	0.0000	-1.7838	18.46	-0.00	18.46	0.03	0.03	0.99	1.11	-0.01	91.44	
-17.5790	0.0000	-1.8427	19.42	-0.00	19.42	0.04	0.06	0.99	1.17	-0.01	91.44	
-18.2604	0.0000	-1.3879	19.65	-0.00	19.65	0.01	0.08	0.99	1.22	-0.01	92.92	
-18.7433	0.0000	-0.9816	19.72	-0.00	19.72	0.01	0.09	1.00	1.25	-0.02	92.94	
-19.0216	0.0000	-0.5666	19.59	-0.00	19.59	0.02	0.07	0.99	1.27	-0.03	91.15	
-19.1559	0.0000	-0.2731	19.43	-0.00	19.43	0.02	0.07	0.99	1.28	-0.05	91.18	
-19.0558	0.0000	0.2037	18.85	-0.00	18.85	0.03	0.05	1.01	1.27	-0.07	91.40	
-18.8190	0.0000	0.4816	18.34	-0.00	18.34	0.04	0.05	1.01	1.25	-0.09	91.44	
-18.4439	0.0000	0.7642	17.68	-0.00	17.68	0.03	0.04	0.99	1.23	-0.10	93.12	
-18.2228	0.0000	0.4495	17.77	-0.00	17.77	0.05	0.04	1.02	1.21	-0.12	93.16	
-18.0478	0.0000	0.3564	17.69	-0.00	17.69	0.02	0.06	1.02	1.20	-0.13	92.11	
-18.0576	0.0000	-0.0199	18.08	-0.00	18.08	-0.00	-0.02	0.99	1.20	-0.15	92.14	
-18.4306	0.0000	-0.7598	19.19	-0.00	19.19	-0.01	-0.03	1.02	1.23	-0.17	91.94	
-18.6798	0.0000	-0.5065	19.19	-0.00	19.19	-0.07	-0.03	1.03	1.25	-0.17	91.93	
-18.7140	0.0000	-0.0696	18.78	-0.00	18.78	0.07	-0.01	1.01	1.25	-0.18	92.22	
-18.6761	0.0000	0.0769	18.60	-0.00	18.60	0.05	0.05	1.02	1.25	-0.23	92.32	
-18.1100	0.0000	1.1532	16.96	-0.00	16.96	-0.03	0.05	1.00	1.21	-0.25	92.94	
-16.8557	0.0000	2.5493	14.31	-0.00	14.31	-0.11	-0.10	0.98	1.12	-0.25	92.94	
-16.0966	0.0000	1.5478	14.55	-0.00	14.55	-0.12	0.08	1.02	1.07	-0.28	93.96	
-15.6989	0.0000	0.8077	14.89	-0.00	14.89	-0.13	-0.05	0.98	1.05	-0.33	94.07	
-16.0743	0.0000	-0.7647	16.84	-0.00	16.84	-0.11	-0.01	0.92	1.07	-0.38	94.47	
-17.6754	0.0000	-3.2543	20.93	-0.00	20.93	-0.02	-0.03	0.97	1.18	-0.48	94.69	
-20.7570	0.0000	-6.2771	27.03	-0.00	27.03	-0.15	-0.07	1.00	1.38	-0.57	95.51	
-25.4045	0.0000	-9.4471	34.85	-0.00	34.85	-0.17	-0.05	1.05	1.69	-0.69	95.84	
-31.7146	0.0000	-12.8557	44.57	-0.00	44.57	-0.07	-0.05	1.01	2.11	-0.87	96.49	
-38.8348	0.0000	-14.4479	53.28	-0.00	53.28	-0.04	-0.02	1.07	2.59	-1.04	96.96	
-46.3501	0.0000	-15.3020	61.65	-0.00	61.65	0.07	0.11	1.07	3.09	-1.23	96.90	
-54.1433	0.0000	-15.8507	69.99	-0.00	69.99	0.16	0.17	0.98	3.61	-1.34	97.27	
-60.8485	0.0000	-13.6513	74.50	-0.00	74.50	0.10	0.04	1.02	4.06	-1.41	100.76	
-68.1265	0.0000	-14.7812	82.91	-0.00	82.91	0.13	0.30	0.88	4.54	-1.40	100.92	
-74.5508	0.0000	-13.0974	87.65	-0.00	87.65	0.11	0.04	0.94	4.97	-1.39	102.88	
-80.4645	0.0000	-12.0126	92.48	-0.00	92.48	0.07	0.19	1.00	5.36	-1.34	108.21	
-85.3178	0.0000	-9.8800	95.20	-0.00	95.20	0.04	0.11	1.16	5.69	-1.30	108.33	
-89.4195	0.0000	-8.3450	97.76	-0.00	97.76	0.20	0.22	1.00	5.96	-1.26	114.50	
-92.3441	0.0000	-5.9654	98.31	-0.00	98.31	0.01	-0.06	1.07	6.16	-1.17	114.50	
-94.5156	0.0000	-4.4110	98.93	-0.00	98.93	0.15	-0.10	1.01	6.30	-1.09	117.80	
-96.8009	0.0000	-4.6568	101.46	-0.00	101.46	0.04	-0.05	1.06	6.45	-1.01	117.81	
-99.1213	0.0000	-4.7159	103.84	-0.00	103.84	-0.08	-0.08	1.09	6.61	-0.97	121.78	
-101.5811	0.0000	-5.0094	106.59	-0.00	106.59	-0.20	-0.09	1.09	6.77	-0.99	121.97	
-104.0608	0.0000	-4.9973	109.06	-0.00	109.06	-0.30	-0.03	1.12	6.94	-1.12	125.74	
-106.1598	0.0000	-4.2416	110.40	-0.00	110.40	-0.24	0.11	1.17	7.08	-1.42	126.27	
-107.7424	0.0000	-3.1916	110.93	-0.00	110.93	-0.31	0.08	1.15	7.18	-1.86	129.57	
-108.8931	0.0000	-2.3224	111.22	-0.00	111.22	0.04	0.27	1.06	7.26	-2.41	130.30	
-109.2092	0.0000	-0.6372	109.85	-0.00	109.85	0.07	0.12	0.79	7.28	-3.03	134.00	
-108.9942	0.0000	0.4344	108.56	-0.00	108.56	-0.05	-0.05	0.97	7.27	-3.65	134.64	
-109.0322	0.0000	-0.0766	109.11	-0.00	109.11	0.16	0.10	1.02	7.27	-4.23	137.72	
-109.0744	0.0000	-0.0853	109.16	-0.00	109.16	0.08	-0.04	0.92	7.27	-4.77	138.25	
-109.5060	0.0000	-0.8695	110.38	-0.00	110.38	0.13	-0.10	0.86	7.30	-5.25	138.86	
-111.3948	0.0000	-3.8194	115.21	-0.00	115.21	-0.05	0.01	0.92	7.43	-5.70	139.44	
-113.3329	0.0000	-3.9024	117.24	-0.00	117.24	-0.06	-0.02	1.02	7.56	-6.21	142.86	
-115.6397	0.0000	-4.6592	120.30	-0.00	120.30	-0.18	0.20	1.08	7.71	-6.75	143.52	
-117.9766	0.0000	-4.7137	122.69	-0.00	122.69	-0.06	0.04	0.91	7.87	-7.32	145.94	
-119.5666	0.0000	-3.2097	122.78	-0.00	122.78	-0.13	-0.02	1.02	7.97	-7.91	146.51	
-121.0628	0.0000	-3.0137	124.08	-0.00	124.08	0.04	0.15	1.05	8.07	-8.52	149.76	
