P,I,D
  0.0000, -0.5451,  0.0000
  0.0000, -0.5451,  0.0000
  0.0000, -0.5451,  0.0000
  0.4458, -0.5369,  1.2436
  1.4539, -0.5102,  2.8046
  2.5911, -0.4624,  3.1747
  3.5867, -0.3967,  2.7660
  4.1905, -0.3196,  1.6820
  5.3222, -0.2217,  3.1540
  7.4222, -0.0854,  5.8443
 10.5970,  0.1101,  8.8746
 14.1911,  0.3705,  9.9922
 18.0591,  0.7014, 10.7392
 21.1566,  1.0906,  8.6321
 23.0745,  1.5122,  5.3103
 23.5094,  1.9448,  1.2123
 23.6943,  2.3796,  0.5141
 22.5264,  2.7961, -3.2725
 21.4535,  3.1879, -2.9686
 19.6002,  3.5482, -5.1612
 17.6174,  3.8714, -5.5125
 16.7356,  4.1797, -2.4609
 15.7779,  4.4700, -2.6696
 15.4196,  4.7531, -0.9969
 14.8428,  5.0268, -1.6118
 14.3873,  5.2910, -1.2671
 14.1929,  5.5507, -0.5391
 13.6313,  5.8028, -1.5736
 13.0148,  6.0404, -1.7051
 12.1586,  6.2641, -2.3871
 11.1661,  6.4692, -2.7611
 10.2420,  6.6575, -2.5754
  8.2248,  6.8088, -5.6216
  6.3642,  6.9257, -5.1781
  5.0113,  7.0175, -3.7549
  2.9448,  7.0716, -5.7550
  1.9337,  7.1072, -2.8148
  0.5621,  7.1175, -3.8250
  0.0000,  7.1175, -1.5644
  0.0000,  7.1175,  0.0000
  0.0000,  7.1175,  0.0000
  0.0000,  7.1175,  0.0000
  0.0000,  7.1175,  0.0000
  0.0000,  7.1175,  0.0000
  0.0000,  7.1175,  0.0000
  0.0000,  7.1175,  0.0000
  0.0000,  7.1175,  0.0000
  0.0000,  7.1175,  0.0000
  0.0000,  7.1175,  0.0000
 -0.4163,  7.1098, -1.1650
 -1.1911,  7.0881, -2.1423
 -2.7979,  7.0368, -4.4612
 -4.3327,  6.9573, -4.2684
 -5.9898,  6.8473, -4.6087
 -7.4086,  6.7112, -3.9499
 -9.6781,  6.5329, -6.3353
-12.6603,  6.3009, -8.2798
-15.3652,  6.0185, -7.5328
-18.3001,  5.6821, -8.1734
-21.2594,  5.2898, -8.2749
-23.9769,  4.8510, -7.5347
-26.7537,  4.3588, -7.7409
-28.8400,  3.8296, -5.8003
-29.5355,  3.2862, -1.9389
-28.8236,  2.7571,  1.9798
-25.9870,  2.2788,  7.9104
-23.5305,  1.8466,  6.8365
-20.7658,  1.4644,  7.7100
-17.4788,  1.1438,  9.1353
-15.7026,  0.8548,  4.9531
-14.3033,  0.5911,  3.9076
-13.6608,  0.3401,  1.7885
-13.3581,  0.0952,  0.8412
-12.7234, -0.1402,  1.7790
-13.0497, -0.3789, -0.9046
-13.2118, -0.6214, -0.4508
-12.4541, -0.8499,  2.1067
-12.3863, -1.0779,  0.1890
-11.0430, -1.2809,  3.7411
 -9.9496, -1.4633,  3.0379
 -9.0700, -1.6296,  2.4435
 -7.8169, -1.7733,  3.4888
 -6.3747, -1.8902,  4.0082
 -4.6980, -1.9770,  4.6932
 -2.8920, -2.0300,  5.0157
 -0.6848, -2.0426,  6.1575
  0.0000, -2.0426,  1.9122
  0.0000, -2.0426,  0.0000
  0.0000, -2.0426,  0.0000
  0.0000, -2.0426,  0.0000
  0.0000, -2.0426,  0.0000
  0.0000, -2.0426,  0.0000
  0.0000, -2.0426,  0.0000
  0.3688, -2.0358,  1.0348
  0.7706, -2.0217,  1.1080
  1.2096, -1.9995,  1.2221
  2.0313, -1.9624,  2.2761
  2.5165, -1.9161,  1.3525
  3.0567, -1.8599,  1.5035
  4.3807, -1.7794,  3.6883
  6.3274, -1.6631,  5.4215
  7.7431, -1.5206,  3.9479
  9.4543, -1.3471,  4.7575
 11.9317, -1.1276,  6.9065
 14.5644, -0.8602,  7.3219
 17.2028, -0.5424,  7.3848
 19.7971, -0.1792,  7.2128
 21.5102,  0.2166,  4.7756
 22.3460,  0.6265,  2.3228
 22.5291,  1.0411,  0.5107
 21.4343,  1.4350, -3.0480
 19.2141,  1.7862, -6.1495
 17.0781,  2.0993, -5.9324
 14.8431,  2.3733, -6.2516
 12.8055,  2.6081, -5.6610
 11.5865,  2.8213, -3.3984
 10.1799,  3.0081, -3.9107
  9.7722,  3.1880, -1.1373
  9.4861,  3.3621, -0.7952
  9.4501,  3.5368, -0.1011
  8.8985,  3.7007, -1.5391
  8.1066,  3.8487, -2.1906
  7.0223,  3.9776, -3.0154
  5.8708,  4.0856, -3.2102
  4.4649,  4.1676, -3.9127
  3.0488,  4.2237, -3.9464
  1.5715,  4.2525, -4.1030
  0.0000,  4.2525, -4.3838
  0.0000,  4.2525,  0.0000
  0.0000,  4.2525,  0.0000
  0.0000,  4.2525,  0.0000
  0.0000,  4.2525,  0.0000
  0.0000,  4.2525,  0.0000
  0.0000,  4.2525,  0.0000
 -1.1675,  4.2310, -3.2514
 -2.8015,  4.1801, -4.4964
 -4.3664,  4.0999, -4.3568
 -5.9822,  3.9898, -4.5074
 -8.6323,  3.8314, -7.3653
-11.2694,  3.6237, -7.3639
-14.8860,  3.3508,-10.0446
-18.2481,  3.0151, -9.3726
-20.6302,  2.6359, -6.6340
-22.9664,  2.2131, -6.5170
-24.5646,  1.7620, -4.4465
-25.3500,  1.2976, -2.1796
-25.0033,  0.8381,  0.9653
-23.3802,  0.4043,  4.5633
-21.3763,  0.0130,  5.5578
-19.7620, -0.3520,  4.5170
-17.8285, -0.6790,  5.3737
-16.9626, -0.9902,  2.4067
-16.4732, -1.2924,  1.3606
-16.2279, -1.5894,  0.6799
-17.4145, -1.9111, -3.3213
-18.1719, -2.2434, -2.0986
-18.4908, -2.5831, -0.8873
-18.6378, -2.9280, -0.4122
-18.5235, -3.2673,  0.3172
-17.9273, -3.5973,  1.6630
-16.4953, -3.8987,  3.9638
-15.6603, -4.1869,  2.3286
-14.7160, -4.4567,  2.6226
-13.5706, -4.7060,  3.1886
-12.7931, -4.9411,  2.1645
-11.6041, -5.1548,  3.3181
-10.3165, -5.3440,  3.5786
 -9.2226, -5.5139,  3.0524
 -8.2263, -5.6648,  2.7700
 -7.4783, -5.8023,  2.0839
 -6.3490, -5.9188,  3.1397
 -5.4470, -6.0191,  2.5144
 -4.5494, -6.1026,  2.4981
 -3.5867, -6.1685,  2.6775
 -3.1702, -6.2268,  1.1623
 -1.8741, -6.2613,  3.6083
 -0.7123, -6.2744,  3.2343
 -0.0369, -6.2750,  1.8871
  0.0000, -6.2750,  0.1030
  0.0000, -6.2750,  0.0000
  0.0000, -6.2750,  0.0000
  0.0000, -6.2750,  0.0000
  0.0000, -6.2750,  0.0000
  0.0000, -6.2750,  0.0000
  0.0000, -6.2750,  0.0000
  0.0000, -6.2750,  0.0000
  0.0000, -6.2750,  0.0000
  0.0000, -6.2750,  0.0000
  0.0000, -6.2750,  0.0000
  0.0000, -6.2750,  0.0000
  0.0000, -6.2750,  0.0000
  0.5794, -6.2643,  1.6260
  1.4903, -6.2372,  2.5103
  2.4183, -6.1928,  2.5808
  3.3182, -6.1320,  2.4984
  4.0354, -6.0578,  1.9994
  4.7337, -5.9709,  1.9406
  5.6187, -5.8675,  2.4681
  6.3777, -5.7505,  2.1110
  7.1373, -5.6191,  2.1175
  8.3498, -5.4660,  3.3697
  9.5021, -5.2911,  3.2135
 11.0592, -5.0882,  4.3291
 12.9306, -4.8502,  5.2189
 14.7929, -4.5787,  5.1773
 16.1758, -4.2802,  3.8669
 18.4096, -3.9432,  6.1957
 20.6033, -3.5643,  6.1135
 21.8855, -3.1614,  3.5758
 22.8750, -2.7417,  2.7508
 21.6408, -2.3437, -3.4395
 19.8430, -1.9793, -5.0015
 18.1727, -1.6459, -4.6439
 15.8627, -1.3543, -6.4331
 14.8338, -1.0821, -2.8604
 13.4454, -0.8340, -3.8825
 12.5593, -0.6028, -2.4710
 11.4457, -0.3923, -3.1032
 10.9889, -0.1901, -1.2735
  9.9286, -0.0079, -2.9490
  9.1105,  0.1600, -2.2836
  8.3219,  0.3127, -2.1933
  7.7200,  0.4542, -1.6712
  6.1975,  0.5683, -4.2472
  4.7519,  0.6554, -4.0163
  2.8268,  0.7074, -5.3667
  0.6618,  0.7196, -6.0211
  0.0000,  0.7196, -1.8399
  0.0000,  0.7196,  0.0000
  0.0000,  0.7196,  0.0000
  0.0000,  0.7196,  0.0000
 -0.6561,  0.7075, -1.8296
 -2.4118,  0.6632, -4.8846
 -4.0048,  0.5895, -4.4408
 -6.5289,  0.4698, -7.0152
 -8.3481,  0.3160, -5.0783
-11.1036,  0.1124, -7.6529
-13.7774, -0.1417, -7.4741
-15.9569, -0.4341, -6.0510
-18.1616, -0.7681, -6.1421
-19.7678, -1.1302, -4.4580
-20.3187, -1.5025, -1.5294
-20.5559, -1.8807, -0.6613
-19.3102, -2.2376,  3.4879
-17.9379, -2.5655,  3.8012
-17.2443, -2.8830,  1.9349
-16.7394, -3.1900,  1.4032
-16.6820, -3.4968,  0.1599
-17.1068, -3.8118, -1.1853
-17.7903, -4.1387, -1.9028
-18.6527, -4.4806, -2.3953
-19.7150, -4.8430, -2.9583
-20.4667, -5.2190, -2.0926
-20.3631, -5.5932,  0.2884
-20.0239, -5.9625,  0.9477
-19.5733, -6.3226,  1.2562
-19.0171, -6.6703,  1.5404
-18.1458, -7.0036,  2.4250
-17.5042, -7.3245,  1.7825
-16.6930, -7.6324,  2.2667
-15.9951, -7.9255,  1.9378
-15.9497, -8.2187,  0.1264
-16.0966, -8.5159, -0.4111
-15.9493, -8.8100,  0.4116
-15.0386, -9.0861,  2.5336
-14.0130, -9.3419,  2.8369
-13.6823, -9.5931,  0.9196
-12.7339, -9.8287,  2.6593
-11.9174,-10.0459,  2.2546
-10.2946,-10.2360,  4.5393
 -8.9371,-10.3999,  3.7728
 -8.6494,-10.5592,  0.8026
 -7.8173,-10.7033,  2.3244
 -7.3359,-10.8374,  1.3336
 -6.5324,-10.9573,  2.2338
 -5.9887,-11.0676,  1.5178
 -5.9045,-11.1762,  0.2345
 -5.5828,-11.2793,  0.9002
 -5.1060,-11.3729,  1.3241
 -4.9063,-11.4629,  0.5552
 -4.3597,-11.5431,  1.5247
 -3.3905,-11.6052,  2.6863
 -2.5907,-11.6528,  2.2266
 -1.9123,-11.6879,  1.8908
 -1.0904,-11.7080,  2.2880
 -0.4924,-11.7170,  1.6694
  0.0000,-11.7170,  1.3698
  0.0000,-11.7170,  0.0000
  0.0000,-11.7170,  0.0000
  0.0000,-11.7170,  0.0000
  0.0000,-11.7170,  0.0000
  0.0000,-11.7170,  0.0000
  0.0000,-11.7170,  0.0000
  0.0000,-11.7170,  0.0000
  0.0000,-11.7170,  0.0000
  0.0000,-11.7170,  0.0000
  0.0000,-11.7170,  0.0000
  0.0000,-11.7170,  0.0000
  0.0000,-11.7170,  0.0000
  0.0000,-11.7170,  0.0000
  0.0000,-11.7170,  0.0000
  0.0000,-11.7170,  0.0000
  0.0000,-11.7170,  0.0000
  0.0000,-11.7170,  0.0000
  0.0000,-11.7170,  0.0000
  0.0000,-11.7170,  0.0000
  0.0000,-11.7170,  0.0000
  0.0000,-11.7170,  0.0000
  0.0000,-11.7170,  0.0000
  0.0000,-11.7170,  0.0000
  0.0000,-11.7170,  0.0000
  0.0000,-11.7170,  0.0000
  0.0000,-11.7170,  0.0000
  0.1764,-11.7138,  0.4946
  0.7173,-11.7007,  1.4895
  1.2413,-11.6779,  1.4609
  2.1046,-11.6394,  2.3919
  2.7527,-11.5887,  1.8092
  3.2300,-11.5295,  1.3252
  4.5842,-11.4452,  3.7752
