P,I,D
  5.8509,  7.5007,  1.7558
  6.7742,  7.5487,  1.6358
  6.8027,  7.5970,  0.0506
  8.6036,  7.6591,  3.2514
  9.2836,  7.7242,  1.1912
  9.7229,  7.7933,  0.7813
 10.6618,  7.8695,  1.6775
 12.1948,  7.9559,  2.7142
 14.1148,  8.0561,  3.4075
 15.5939,  8.1671,  2.6330
 16.9900,  8.2880,  2.4836
 17.9607,  8.4157,  1.7250
 18.6683,  8.5484,  1.2575
 19.9669,  8.6905,  2.3109
 19.6399,  8.8300, -0.5806
 19.9300,  8.9727,  0.5193
 21.5757,  9.1258,  2.9196
 21.0578,  9.2753, -0.9192
 22.0611,  9.4325,  1.7873
 22.1804,  9.5896,  0.2112
 24.3401,  9.7640,  3.8679
 25.3565,  9.9430,  1.7941
 25.8918, 10.1268,  0.9499
 27.9376, 10.3270,  3.6653
 29.8421, 10.5377,  3.3626
 31.4985, 10.7620,  2.9487
 30.9466, 10.9817, -0.9795
 32.1838, 11.2129,  2.2218
 31.4561, 11.4345, -1.2815
 30.6552, 11.6522, -1.4222
 30.3693, 11.8686, -0.5094
 30.9239, 12.0901,  0.9929
 30.6005, 12.3077, -0.5751
 34.0346, 12.5498,  6.1049
 32.2553, 12.7776, -3.1417
 33.8040, 13.0183,  2.7570
 33.5701, 13.2566, -0.4152
 32.9666, 13.4931, -1.0823
 32.2334, 13.7204, -1.2928
 31.1124, 13.9420, -1.9962
 31.1022, 14.1629, -0.0181
 31.1768, 14.3871,  0.1342
 31.0047, 14.6062, -0.3040
 30.2802, 14.8213, -1.2866
 31.0373, 15.0401,  1.3344
 30.0815, 15.2552, -1.7088
 31.9436, 15.4822,  3.3069
 31.0599, 15.7037, -1.5757
 31.2943, 15.9255,  0.4154
 31.0094, 16.1475, -0.5098
 29.6294, 16.3579, -2.4507
 31.6603, 16.5822,  3.5969
 32.6027, 16.8137,  1.6729
 30.9345, 17.0334, -2.9614
 31.5656, 17.2582,  1.1234
 32.0405, 17.4865,  0.8459
 30.3553, 17.7025, -2.9979
 30.1581, 17.9168, -0.3504
 32.1201, 18.1461,  3.5022
 32.9305, 18.3793,  1.4348
 33.1156, 18.6146,  0.3288
 32.5722, 18.8476, -0.9719
 32.6238, 19.0796,  0.0918
 32.7075, 19.3137,  0.1498
 31.4692, 19.5361, -2.1872
 30.5220, 19.7521, -1.6765
 29.1007, 19.9586, -2.5206
 28.4585, 20.1610, -1.1421
 27.9963, 20.3602, -0.8222
 28.4743, 20.5642,  0.8561
 28.7878, 20.7686,  0.5563
 29.0399, 20.9759,  0.4499
 29.5305, 21.1851,  0.8690
 30.0718, 21.3993,  0.9639
 31.4914, 21.6230,  2.5211
 32.6318, 21.8543,  2.0205
 30.7483, 22.0720, -3.3348
 31.0916, 22.2939,  0.6127
 33.5774, 22.5342,  4.4460
 33.5429, 22.7714, -0.0610
 31.9146, 22.9998, -2.9133
 30.8972, 23.2179, -1.7957
 29.9557, 23.4308, -1.6727
 31.4393, 23.6553,  2.6482
 33.0603, 23.8894,  2.8700
 33.4855, 24.1281,  0.7577
 35.9052, 24.3842,  4.3160
 36.3303, 24.6416,  0.7530
 39.5138, 24.9235,  5.6766
 40.9573, 25.2138,  2.5583
 42.2685, 25.5143,  2.3302
 40.7002, 25.8040, -2.7909
 40.4922, 26.0917, -0.3695
 39.8376, 26.3765, -1.1700
 40.8647, 26.6652,  1.8142
 39.8860, 26.9491, -1.7411
 44.4349, 27.2651,  8.0893
 43.4285, 27.5743, -1.7909
 45.2245, 27.8940,  3.1744
 45.9101, 28.2224,  1.2262
 44.0087, 28.5344, -3.3698
 43.3447, 28.8429, -1.1812
 43.9840, 29.1561,  1.1385
 45.1152, 29.4775,  2.0143
 44.6236, 29.7943, -0.8724
 46.0284, 30.1240,  2.5160
 47.1160, 30.4568,  1.9203
 48.4819, 30.8019,  2.4306
 48.6793, 31.1484,  0.3513
 51.3987, 31.5156,  4.8572
 51.3192, 31.8782, -0.1404
 51.5438, 32.2478,  0.4027
 53.7424, 32.6288,  3.8965
 53.0465, 33.0032, -1.2279
 52.5851, 33.3767, -0.8194
 52.9504, 33.7567,  0.6554
 54.1058, 34.1414,  2.0539
 54.9816, 34.5304,  1.5491
 56.2441, 34.9299,  2.2419
 53.9257, 35.3127, -4.1144
 53.9316, 35.6972,  0.0105
 52.6177, 36.0757, -2.3635
 50.7061, 36.4317, -3.3545
 49.6091, 36.7847, -1.9514
 51.3365, 37.1498,  3.0718
 51.7670, 37.5194,  0.7684
 51.4215, 37.8846, -0.6134
 49.9069, 38.2403, -2.6988
 47.3381, 38.5750, -4.5404
 49.4035, 38.9276,  3.6855
