Angle, P,I,D
 -1.5992,  7.8362,  9.1534, -2.9554
 -1.3625,  6.6765,  9.2977, -3.7987
 -1.1739,  5.7519,  9.4223, -3.0331
 -1.0601,  5.1944,  9.5343, -1.8222
 -0.8741,  4.2829,  9.6272, -2.9938
 -0.7547,  3.6982,  9.7080, -1.9361
 -0.5290,  2.5922,  9.7642, -3.6329
 -0.2926,  1.4338,  9.7952, -3.7933
 -0.0814,  0.3991,  9.8038, -3.3946
  0.0000,  0.0000,  9.8038, -1.3051
  0.0000,  0.0000,  9.8038,  0.0000
  0.1275, -0.6246,  9.7903, -2.0464
  0.3707, -1.8162,  9.7507, -3.9374
  0.5407, -2.6493,  9.6933, -2.7357
  0.8924, -4.3725,  9.5991, -5.6249
  1.0766, -5.2755,  9.4847, -2.9659
  1.2908, -6.3250,  9.3499, -3.3905
  1.6293, -7.9837,  9.1768, -5.4485
  1.9255, -9.4347,  8.9732, -4.7439
  2.2606,-11.0768,  8.7330, -5.3953
  2.5729,-12.6070,  8.4612, -4.9981
  3.0109,-14.7536,  8.1410, -7.0598
  3.3451,-16.3909,  7.7874, -5.3514
  3.7462,-18.3564,  7.3897, -6.4520
  4.1539,-20.3543,  6.9501, -6.5380
  4.5295,-22.1945,  6.4688, -6.0462
  4.8629,-23.8281,  5.9546, -5.3408
  5.0816,-24.8997,  5.4148, -3.5201
  5.1822,-25.3930,  4.8669, -1.6126
  4.9738,-24.3716,  4.3377,  3.3603
  4.7756,-23.4006,  3.8336,  3.1694
  4.4936,-22.0184,  3.3561,  4.5416
  4.0800,-19.9921,  2.9239,  6.6372
  3.7995,-18.6175,  2.5210,  4.5066
  3.6252,-17.7634,  2.1377,  2.7924
  3.4457,-16.8839,  1.7708,  2.8960
  3.3337,-16.3351,  1.4191,  1.7904
  3.1319,-15.3462,  1.0863,  3.2494
  2.9394,-14.4033,  0.7747,  3.0903
  2.7313,-13.3834,  0.4818,  3.3822
  2.6071,-12.7750,  0.2062,  1.9886
  2.4914,-12.2077, -0.0591,  1.8680
  2.3869,-11.6957, -0.3115,  1.6743
  2.2832,-11.1878, -0.5536,  1.6649
  2.1583,-10.5757, -0.7818,  2.0010
  2.0170, -9.8831, -0.9960,  2.2751
  1.7868, -8.7551, -1.1853,  3.6959
  1.5647, -7.6670, -1.3491,  3.5218
  1.3405, -6.5685, -1.4909,  3.5927
  1.2161, -5.9589, -1.6202,  2.0043
  1.1223, -5.4990, -1.7388,  1.5020
  0.8933, -4.3772, -1.8337,  3.6859
  0.6913, -3.3873, -1.9077,  3.2760
  0.4571, -2.2398, -1.9562,  3.7657
  0.2360, -1.1565, -1.9811,  3.5403
  0.1059, -0.5191, -1.9924,  2.0972
  0.0000,  0.0000, -1.9924,  1.6949
  0.0000,  0.0000, -1.9924,  0.0000
  0.0000,  0.0000, -1.9924,  0.0000
 -0.1710,  0.8380, -1.9742,  2.7508
 -0.2924,  1.4326, -1.9429,  1.9712
 -0.3447,  1.6892, -1.9064,  0.8399
 -0.4313,  2.1133, -1.8608,  1.3853
 -0.6331,  3.1024, -1.7934,  3.2561
 -0.9598,  4.7030, -1.6921,  5.2248
 -1.2309,  6.0315, -1.5613,  4.3651
 -1.6341,  8.0070, -1.3903,  6.3921
 -2.0314,  9.9538, -1.1749,  6.3847
 -2.4738, 12.1217, -0.9134,  7.0855
 -2.8127, 13.7823, -0.6102,  5.5342
 -3.0268, 14.8311, -0.2909,  3.4214
 -3.1363, 15.3677,  0.0426,  1.7641
 -3.1525, 15.4471,  0.3762,  0.2598
 -2.8500, 13.9652,  0.6787, -4.8630
 -2.5271, 12.3829,  0.9464, -5.1827
 -2.0879, 10.2308,  1.1677, -7.0560
 -1.7579,  8.6138,  1.3513, -5.2206
 -1.4938,  7.3196,  1.5100, -4.2523
 -1.1469,  5.6196,  1.6314, -5.5613
 -0.8966,  4.3936,  1.7265, -4.0248
 -0.6249,  3.0618,  1.7935, -4.4111
 -0.4608,  2.2581,  1.8424, -2.6392
 -0.1261,  0.6181,  1.8558, -5.3601
  0.0000,  0.0000,  1.8558, -2.0278
  0.0000,  0.0000,  1.8558,  0.0000
  0.2526, -1.2377,  1.8289, -4.0641
  0.7701, -3.7735,  1.7469, -8.3553
  1.3820, -6.7718,  1.6001, -9.8485
  1.9058, -9.3387,  1.4009, -8.2924
  2.3494,-11.5122,  1.1514, -7.1374
  2.8594,-14.0109,  0.8491, -8.1692
  3.3888,-16.6053,  0.4847, -8.6276
  3.9129,-19.1731,  0.0707, -8.4004
  4.3329,-21.2311, -0.3906, -6.7744
  4.6150,-22.6137, -0.8778, -4.5134
  4.7484,-23.2670, -1.3816, -2.1431
  4.7727,-23.3862, -1.8802, -0.3852
  4.7323,-23.1882, -2.3899,  0.6594
  4.6018,-22.5489, -2.8769,  2.0920
  4.6413,-22.7423, -3.3629, -0.6262
  4.8351,-23.6919, -3.8815, -3.1490
  4.8911,-23.9663, -4.3935, -0.8884
  5.0648,-24.8173, -4.9372, -2.8248
  5.2263,-25.6086, -5.4840, -2.5604
  5.3775,-26.3496, -6.0526, -2.4225
  5.2779,-25.8619, -6.6136,  1.6031
  5.2171,-25.5636, -7.1651,  0.9748
  5.1665,-25.3161, -7.7222,  0.8255
  5.1542,-25.2557, -8.2669,  0.1972
  5.1481,-25.2255, -8.8137,  0.0992
  5.0223,-24.6090, -9.3476,  2.0262
  5.1286,-25.1300, -9.8819, -1.6784
  5.1576,-25.2723,-10.4272, -0.4652
  4.9609,-24.3083,-10.9625,  3.2166
  4.8891,-23.9568,-11.4712,  1.1311
  4.8933,-23.9772,-11.9914, -0.0671
  5.0016,-24.5078,-12.5291, -1.7640
  4.8591,-23.8096,-13.0364,  2.2541
  4.9782,-24.3934,-13.5628, -1.9086
  4.7858,-23.4504,-14.0713,  3.0983
  4.5110,-22.1040,-14.5483,  4.4020
  4.3698,-21.4118,-15.0123,  2.2730
  4.2933,-21.0374,-15.4676,  1.2276
  4.3710,-21.4179,-15.9307, -1.2470
  4.3942,-21.5316,-16.3953, -0.3714
  4.4302,-21.7081,-16.8730, -0.5886
  4.5427,-22.2590,-17.3536, -1.8023
  4.5769,-22.4270,-17.8324, -0.5434
  4.4327,-21.7201,-18.3082,  2.3465
  4.1747,-20.4559,-18.7451,  4.0907
  4.0963,-20.0717,-19.1775,  1.2541
  3.9551,-19.3800,-19.5978,  2.2727
  3.8469,-18.8500,-20.0050,  1.7349
  3.9029,-19.1242,-20.4200, -0.9015
  3.7906,-18.5738,-20.8265,  1.8254
  3.4732,-17.0185,-21.1909,  5.0450
  3.4821,-17.0623,-21.5581, -0.1428
  3.3047,-16.1929,-21.9145,  2.8994
  3.1312,-15.3429,-22.2421,  2.7494
  3.0734,-15.0595,-22.5673,  0.9275
  3.0598,-14.9933,-22.8955,  0.2195
  3.1623,-15.4953,-23.2316, -1.6500
  2.9046,-14.2327,-23.5348,  4.0750
  2.9028,-14.2236,-23.8425,  0.0298
  2.7782,-13.6132,-24.1414,  2.0306
  2.6691,-13.0786,-24.4208,  1.7303
  2.6614,-13.0409,-24.7016,  0.1232
  2.6087,-12.7826,-24.9815,  0.8567
  2.5421,-12.4562,-25.2515,  1.0723
  2.4949,-12.2248,-25.5127,  0.7489
  2.3271,-11.4028,-25.7629,  2.7326
  2.4196,-11.8560,-26.0158, -1.4646
  2.1169,-10.3728,-26.2395,  4.8462
  2.0678,-10.1321,-26.4592,  0.7908
  2.1225,-10.4002,-26.6870, -0.8896
  1.9957, -9.7790,-26.8990,  2.0404
  2.1773,-10.6687,-27.1257, -2.8651
  2.1940,-10.7508,-27.3589, -0.2697
  2.4699,-12.1028,-27.6238, -4.4850
  2.6293,-12.8837,-27.8990, -2.5268
  2.5680,-12.5833,-28.1705,  0.9820
  2.6434,-12.9527,-28.4556, -1.2318
  2.5259,-12.3769,-28.7186,  1.8543
  2.6354,-12.9136,-28.9986, -1.7629
  2.3547,-11.5382,-29.2476,  4.4983
  2.0520,-10.0547,-29.4656,  4.8728
  2.0580,-10.0844,-29.6835, -0.0972
  1.8256, -8.9457,-29.8807,  3.8030
  1.9041, -9.3299,-30.0784, -1.2335
  1.8997, -9.3087,-30.2806,  0.0700
  2.0813,-10.1982,-30.5040, -2.9526
  2.1965,-10.7629,-30.7334, -1.8234
  2.3138,-11.3379,-30.9783, -1.8820
  2.3240,-11.3876,-31.2250, -0.1632
  2.3526,-11.5276,-31.4773, -0.4645
  2.3251,-11.3929,-31.7250,  0.4439
  2.4077,-11.7977,-31.9790, -1.3203
  2.1773,-10.6689,-32.2069,  3.6550
  2.2747,-11.1461,-32.4480, -1.5636
  2.1792,-10.6781,-32.6790,  1.5338
  2.2769,-11.1570,-32.9197, -1.5658
  2.0760,-10.1726,-33.1404,  3.2357
  2.1995,-10.7776,-33.3729, -1.9781
  2.3249,-11.3921,-33.6199, -2.0184
  2.1434,-10.5025,-33.8465,  2.9077
  2.1868,-10.7155,-34.0790, -0.7004
  2.3078,-11.3083,-34.3266, -1.9671
  2.3922,-11.7216,-34.5771, -1.3384
  2.5226,-12.3610,-34.8435, -2.0877
  2.5773,-12.6288,-35.1174, -0.8799
  2.6963,-13.2121,-35.4066, -1.9352
  2.7100,-13.2791,-35.6902, -0.2167
  2.7060,-13.2595,-35.9807,  0.0650
  2.6249,-12.8622,-36.2603,  1.3083
  2.3031,-11.2852,-36.5006,  5.0882
  2.4751,-12.1280,-36.7631, -2.7640
  2.3784,-11.6542,-37.0146,  1.5498
  2.5764,-12.6241,-37.2881, -3.1841
  2.5730,-12.6076,-37.5605,  0.0542
  2.6802,-13.1331,-37.8494, -1.7515
  2.8526,-13.9775,-38.1470, -2.7236
  3.0736,-15.0606,-38.4721, -3.5432
  3.1872,-15.6172,-38.8091, -1.8196
  3.3000,-16.1700,-39.1614, -1.8248
  3.2998,-16.1689,-39.5085,  0.0036
  3.4363,-16.8376,-39.8804, -2.2384
  3.1256,-15.3153,-40.2047,  4.8839
  3.0091,-14.7445,-40.5244,  1.8756
  2.8767,-14.0957,-40.8286,  2.1210
  2.7206,-13.3310,-41.1178,  2.5133
  2.6808,-13.1360,-41.4011,  0.6373
  2.8162,-13.7993,-41.7050, -2.2131
  2.9936,-14.6688,-42.0165, -2.7975
  3.1740,-15.5525,-42.3538, -2.9035
  3.9075,-19.1468,-42.7676,-11.7695
  4.0344,-19.7686,-43.1955, -2.0393
  4.0540,-19.8645,-43.6244, -0.3138
  3.9425,-19.3180,-44.0493,  1.8212
  3.8358,-18.7955,-44.4486,  1.6823
  3.7503,-18.3763,-44.8473,  1.3776
  3.3348,-16.3403,-45.2014,  6.6856
  3.5387,-17.3399,-45.5767, -3.2782
  3.8428,-18.8295,-45.9828, -4.8672
  3.8391,-18.8115,-46.3898,  0.0591
  3.9106,-19.1619,-46.8104, -1.1652
  3.9185,-19.2007,-47.2192, -0.1251
  4.1570,-20.3693,-47.6655, -3.8805
  3.9525,-19.3673,-48.0804,  3.2524
  4.1002,-20.0910,-48.5129, -2.3601
  4.0490,-19.8401,-48.9433,  0.8247
  3.8543,-18.8862,-49.3568,  3.1643
  3.9536,-19.3725,-49.7711, -1.5759
  4.0294,-19.7438,-50.1965, -1.2120
  3.9553,-19.3808,-50.6180,  1.1962
  4.2432,-20.7918,-51.0654, -4.6001
  4.1970,-20.5651,-51.5120,  0.7460
  4.2624,-20.8856,-51.9687, -1.0621
  4.2596,-20.8718,-52.4153,  0.0447
  4.3805,-21.4646,-52.8855, -1.9675
  4.1672,-20.4192,-53.3208,  3.3762
  4.1865,-20.5139,-53.7633, -0.3098
  4.0735,-19.9600,-54.2023,  1.8461
  3.9067,-19.1427,-54.6104,  2.6395
  3.8035,-18.6372,-55.0135,  1.6568
  3.7528,-18.3886,-55.4106,  0.8133
  3.7262,-18.2585,-55.8120,  0.4337
  3.8605,-18.9165,-56.2200, -2.1501
  3.8425,-18.8281,-56.6236,  0.2873
  3.9523,-19.3661,-57.0467, -1.7809
  4.1148,-20.1627,-57.4767, -2.5744
  4.2840,-20.9915,-57.9302, -2.7131
  4.4114,-21.6157,-58.4000, -2.0555
  4.8982,-24.0010,-58.9169, -7.7837
  5.0857,-24.9201,-59.4568, -3.0173
  5.3491,-26.2107,-60.0243, -4.2337
  5.4946,-26.9236,-60.6060, -2.3336
  5.4258,-26.5864,-61.1801,  1.1032
  5.5087,-26.9924,-61.7654, -1.3341
  5.5380,-27.1364,-62.3504, -0.4704
  5.6374,-27.6235,-62.9602, -1.6293
  5.7848,-28.3456,-63.5608, -2.3180
  5.6046,-27.4628,-64.1562,  2.8997
  5.6904,-27.8827,-64.7597, -1.3773
  5.7050,-27.9547,-65.3640, -0.2357
  5.6667,-27.7669,-65.9729,  0.6239
  6.0923,-29.8521,-66.6197, -6.8450
  5.7430,-28.1405,-67.2174,  5.5086
  5.9516,-29.1631,-67.8502, -3.3620
  5.7491,-28.1707,-68.4583,  3.2455
  5.5995,-27.4374,-69.0529,  2.4080
  5.7124,-27.9906,-69.6565, -1.8078
  5.6037,-27.4580,-70.2522,  1.7506
  5.8927,-28.8744,-70.8750, -4.6292
  5.5943,-27.4119,-71.4696,  4.8068
  5.4607,-26.7576,-72.0476,  2.1410
  5.6087,-27.4825,-72.6433, -2.3811
  5.5300,-27.0968,-73.2273,  1.2597
  5.8209,-28.5222,-73.8458, -4.6837
  5.7160,-28.0084,-74.4502,  1.6800
